asofdate,Weekend,COVID_19Deaths,AllcauseDeaths,PercentExpectedDeaths,PneumoniaDeaths,InfluenzaDeaths
5/12/2020,2/1/2020,0,4419,0.98,244,35
5/12/2020,2/8/2020,0,4383,1,286,34
5/12/2020,2/15/2020,0,4357,1.03,273,26
5/12/2020,2/22/2020,0,4414,1.12,272,33
5/12/2020,2/29/2020,0,4396,1.13,267,33
5/12/2020,3/7/2020,,4520,1.05,262,29
5/12/2020,3/14/2020,,4432,1.04,305,24
5/12/2020,3/21/2020,17,4358,1.05,357,23
5/12/2020,3/28/2020,93,4451,1.06,360,19
5/12/2020,4/4/2020,215,4476,1.08,473,16
5/12/2020,4/11/2020,295,4499,1.05,422,10
5/12/2020,4/18/2020,279,4315,1.03,416,
5/12/2020,4/25/2020,228,4130,0.73,344,
5/12/2020,5/2/2020,57,2908,0.24,177,
5/12/2020,5/9/2020,,970,0,56,0
5/15/2020,2/1/2020,0,4419,0.99,244,35
5/15/2020,2/8/2020,0,4383,1,286,34
5/15/2020,2/15/2020,0,4357,1,273,26
5/15/2020,2/22/2020,0,4414,1.04,272,33
5/15/2020,2/29/2020,0,4397,1.04,267,33
5/15/2020,3/7/2020,,4520,1.07,262,29
5/15/2020,3/14/2020,,4433,1.06,305,24
5/15/2020,3/21/2020,17,4358,1.03,357,23
5/15/2020,3/28/2020,92,4454,1.06,361,19
5/15/2020,4/4/2020,218,4485,1.08,478,16
5/15/2020,4/11/2020,299,4522,1.1,425,10
5/15/2020,4/18/2020,300,4375,1.09,431,
5/15/2020,4/25/2020,293,4418,1.11,405,
5/15/2020,5/2/2020,207,3863,0.97,316,
5/15/2020,5/9/2020,47,2448,0.62,142,
5/18/2020,2/1/2020,0,4419,0.99,244,35
5/18/2020,2/8/2020,0,4383,1,286,34
5/18/2020,2/15/2020,0,4357,1,273,26
5/18/2020,2/22/2020,0,4413,1.04,272,33
5/18/2020,2/29/2020,0,4397,1.04,267,33
5/18/2020,3/7/2020,,4520,1.07,262,29
5/18/2020,3/14/2020,,4434,1.06,305,24
5/18/2020,3/21/2020,17,4358,1.03,357,23
5/18/2020,3/28/2020,92,4455,1.06,361,19
5/18/2020,4/4/2020,218,4486,1.08,479,16
5/18/2020,4/11/2020,299,4523,1.1,425,10
5/18/2020,4/18/2020,300,4378,1.09,432,
5/18/2020,4/25/2020,293,4430,1.11,406,
5/18/2020,5/2/2020,207,3915,0.99,318,
5/18/2020,5/9/2020,48,2749,0.7,162,
5/18/2020,5/16/2020,,597,0.15,35,0
5/22/2020,3/28/2020,92,4455,1.06,363,45
5/22/2020,4/4/2020,218,4489,1.07,479,142
5/22/2020,4/11/2020,299,4533,1.11,427,155
5/22/2020,4/18/2020,303,4398,1.08,435,153
5/22/2020,4/25/2020,313,4506,1.12,426,160
5/22/2020,5/2/2020,267,4214,1.09,373,144
5/22/2020,5/9/2020,164,3729,0.98,267,68
